run_id,length,steps
1,13,118
2,26,304
3,24,262
4,20,240
5,42,515
6,19,226
7,41,470
8,23,292
9,55,732
10,31,319
11,18,186
12,20,187
13,46,546
14,21,201
15,50,641
16,31,336
17,24,290
18,25,277
19,30,346
20,52,718
21,39,550
22,19,214
23,50,741
24,38,496
25,44,546
26,22,244
27,26,308
28,43,521
29,13,125
30,31,347
31,36,407
32,50,821
33,40,468
34,46,544
35,26,322
36,27,333
37,47,675
38,21,228
39,21,257
40,20,210
41,40,436
42,37,439
43,32,370
44,36,386
45,25,306
46,35,407
47,26,236
48,15,139
49,40,426
50,19,215
51,37,437
52,34,400
53,32,429
54,32,401
55,64,870
56,51,696
57,39,525
58,24,222
59,18,177
60,36,440
61,19,245
62,35,454
63,31,343
64,51,716
65,42,543
66,26,287
67,22,219
68,52,746
69,32,345
70,38,486
71,36,389
72,29,360
73,33,330
74,12,103
75,17,186
76,20,217
77,27,309
78,27,347
79,53,715
80,34,436
81,41,446
82,29,301
83,35,452
84,27,274
85,21,221
86,48,659
87,36,408
88,22,203
89,27,354
90,20,169
91,32,325
92,30,322
93,21,256
94,17,180
95,30,346
96,41,551
97,39,526
98,36,480
99,25,222
100,16,143
101,45,542
102,27,287
103,41,551
104,60,817
105,36,506
106,39,573
107,42,560
108,16,146
109,35,432
110,23,235
111,35,415
112,59,747
113,26,259
114,26,299
115,32,384
116,33,397
117,35,432
118,40,569
119,35,400
120,44,592
121,14,106
122,24,253
123,38,532
124,25,245
125,37,512
126,31,373
127,29,321
128,17,193
129,29,395
130,29,352
131,18,215
132,29,222
133,31,308
134,58,802
135,42,473
136,30,354
137,19,208
138,35,407
139,43,589
140,27,307
141,19,158
142,31,407
143,25,215
144,28,232
145,20,247
146,19,214
147,17,150
148,21,194
149,25,283
150,26,339
151,25,333
152,25,313
153,15,149
154,16,192
155,44,562
156,39,471
157,38,457
158,18,179
159,29,344
160,30,284
161,38,422
162,29,292
163,50,615
164,20,232
165,39,549
166,20,256
167,35,342
168,37,533
169,30,307
170,32,368
171,30,340
172,51,810
173,23,265
174,28,342
175,38,543
176,39,500
177,26,300
178,25,313
179,20,192
180,43,541
181,33,366
182,40,576
183,34,460
184,22,172
185,25,273
186,33,374
187,16,149
188,26,281
189,33,503
190,30,357
191,34,453
192,43,648
193,34,449
194,18,149
195,33,400
196,30,287
197,27,272
198,14,139
199,19,195
200,9,67
201,30,349
202,33,374
203,32,416
204,30,328
205,25,232
