run_id,length,steps
1,46,597
2,65,846
3,50,681
4,51,564
5,51,578
6,31,339
7,38,471
8,41,581
9,85,1255
10,60,719
11,74,984
12,63,872
13,63,792
14,49,516
15,54,720
16,57,725
17,74,912
18,58,712
19,49,626
20,56,682
21,51,616
22,51,660
23,52,573
24,50,665
25,52,595
26,68,916
27,75,974
28,69,891
29,43,597
30,56,711
31,43,511
32,42,515
33,82,1111
34,42,498
35,42,411
36,60,847
37,83,1138
38,66,873
39,62,802
40,76,1124
41,71,994
42,74,1162
43,41,517
44,82,1361
45,61,785
46,52,566
47,58,818
48,72,955
49,54,748
50,52,651
51,72,960
52,61,793
53,45,501
54,44,615
55,54,657
56,50,696
57,75,1109
58,44,554
59,51,654
60,20,176
61,56,733
62,42,529
63,89,1224
64,48,593
65,68,900
66,64,1046
67,79,1111
68,64,959
69,58,793
70,46,480
71,35,405
72,58,779
73,59,781
74,31,361
75,54,618
76,24,248
77,91,1444
78,76,1037
79,33,296
80,58,740
81,49,595
82,73,1101
83,44,545
84,64,820
85,55,671
86,52,636
87,60,742
88,62,793
89,65,784
90,34,378
91,90,1307
92,49,555
93,61,718
94,85,1135
95,75,957
96,55,664
97,51,604
98,58,764
99,53,731
100,65,820
101,33,333
102,55,718
103,33,366
104,46,519
105,46,651
106,70,859
107,59,841
108,69,934
109,26,269
110,81,1036
111,41,482
112,54,655
113,83,1221
114,70,941
115,58,740
116,67,921
117,68,953
118,44,513
119,76,1034
120,54,652
121,58,793
122,54,706
123,51,602
124,50,687
125,50,606
126,65,888
127,81,1229
128,69,767
129,59,738
130,57,744
131,81,1097
132,54,650
133,59,852
134,64,1135
135,61,932
136,61,784
137,58,780
138,47,595
139,49,561
140,36,362
141,63,862
142,50,663
143,52,602
144,77,1346
145,68,866
146,67,851
147,57,637
148,39,405
149,38,428
150,55,639
151,52,589
152,83,1232
153,44,561
154,37,529
155,69,897
156,44,589
157,43,436
158,48,550
159,76,1017
160,61,749
161,52,619
162,65,972
163,81,1251
164,49,608
165,74,952
166,73,963
167,57,806
168,44,521
169,26,326
170,29,279
171,61,866
172,58,791
173,63,847
174,50,617
175,64,774
176,52,739
177,71,941
178,54,699
179,84,1199
180,47,518
181,33,317
182,66,946
183,53,605
184,71,1028
185,68,1030
186,66,859
187,56,714
188,67,950
189,49,690
190,43,465
191,42,498
192,43,457
193,58,688
194,74,1031
195,51,704
196,51,642
197,60,835
198,76,971
199,36,445
200,39,475
201,43,512
202,66,906
203,46,572
204,53,811
205,30,289
206,62,763
207,41,509
208,43,536
209,61,778
210,56,648
211,80,1066
212,54,665
213,69,912
214,54,819
215,53,842
216,77,1211
217,81,1047
218,63,784
219,52,716
220,74,953
221,46,518
222,89,1273
223,50,633
224,53,676
225,71,959
226,53,674
227,53,596
228,69,985
229,70,974
230,52,670
231,71,1079
232,78,1100
233,64,908
234,60,751
235,37,523
236,67,1012
237,40,469
238,52,730
239,49,594
240,33,336
241,55,722
242,60,798
243,53,748
244,57,745
245,51,635
246,67,934
247,59,780
248,34,349
249,65,903
250,33,293
251,65,954
252,54,736
253,49,630
254,62,742
255,68,843
256,71,1060
257,53,793
258,16,149
259,74,1024
260,80,1182
261,52,763
262,56,703
263,66,928
264,70,898
265,36,444
266,54,728
267,58,784
268,40,439
269,63,815
270,56,720
271,70,949
272,43,611
273,76,1146
274,40,492
275,81,1196
276,51,606
277,56,738
278,54,829
279,55,810
280,82,1172
281,61,812
282,53,636
283,56,816
284,44,538
285,68,848
286,57,664
287,55,715
288,53,661
289,69,1007
290,36,412
291,47,497
292,44,508
293,60,684
294,67,1030
295,36,433
296,67,952
297,33,348
298,64,824
299,47,617
300,56,775
301,62,804
302,67,789
303,94,1391
304,57,680
305,61,811
306,43,433
307,43,498
308,50,625
309,77,1038
310,51,624
311,60,874
312,84,1127
313,32,352
314,77,1018
315,80,1167
316,49,579
317,65,925
318,41,447
319,65,940
320,38,445
321,65,779
322,49,721
323,51,620
324,62,859
325,89,1442
326,44,522
327,64,858
328,48,693
329,45,566
330,57,704
331,51,621
332,24,247
333,67,939
334,27,260
335,71,989
336,49,571
337,62,806
338,51,680
339,54,672
340,47,574
341,32,331
342,53,702
343,29,318
344,90,1434
345,63,810
346,56,725
347,74,1036
348,51,685
349,81,1007
350,81,1176
351,51,666
352,47,607
353,62,766
354,59,756
355,57,649
356,65,876
357,71,1007
358,58,675
359,24,226
360,62,847
361,58,689
362,37,429
363,80,1023
364,51,653
365,28,292
366,59,922
367,92,1246
368,70,1144
369,67,1008
370,59,654
371,72,1018
372,65,857
373,80,1093
374,65,916
375,60,764
376,44,611
377,83,1345
378,57,750
379,46,565
380,50,624
381,42,561
382,69,1026
383,48,525
384,70,1029
385,71,899
386,70,996
387,50,616
388,56,801
389,74,1003
390,76,1120
391,44,560
392,78,1203
393,53,702
394,42,441
395,41,474
396,78,1102
397,68,804
398,77,1050
399,57,786
400,47,551
401,69,810
402,49,534
403,43,530
404,64,876
405,90,1204
406,82,1190
407,37,329
408,52,737
409,71,1051
410,50,539
411,60,742
412,61,751
413,75,1046
414,52,626
415,45,559
416,58,762
417,54,750
418,67,847
419,43,534
420,80,1060
421,82,1014
422,51,644
423,58,803
424,65,913
425,78,1124
426,47,584
427,62,829
428,55,744
429,26,276
430,74,1006
431,49,577
432,75,1042
433,63,748
434,71,1128
435,85,1205
436,58,893
437,66,894
438,49,567
439,58,702
440,64,897
441,32,348
442,45,612
443,47,602
444,48,547
445,71,1074
446,33,452
447,78,1135
448,58,695
449,63,793
450,70,871
451,60,769
452,53,654
453,83,1335
454,69,902
455,49,718
456,59,827
457,51,732
458,68,859
459,58,780
460,42,550
461,63,804
462,58,814
463,35,441
464,72,1139
465,79,1017
466,68,1026
467,48,629
468,55,776
469,78,1048
470,51,616
471,64,877
472,47,546
473,28,265
474,58,720
475,50,629
476,58,775
477,61,780
478,33,335
479,61,844
480,69,912
481,60,713
482,69,1000
483,56,798
484,71,872
485,57,810
486,60,818
487,45,606
488,60,831
489,48,581
490,75,986
491,69,830
492,69,882
493,76,1135
494,50,562
495,71,1092
496,82,1270
497,82,1178
498,59,779
499,57,658
500,41,485
