size,run_id,length,steps
10,1,27,153
10,2,28,174
10,3,29,235
10,4,37,313
10,5,17,102
10,6,31,216
10,7,27,205
10,8,19,147
10,9,9,42
10,10,16,102
10,11,30,234
10,12,25,140
10,13,27,222
10,14,20,120
10,15,14,82
10,16,19,132
10,17,23,207
10,18,14,79
10,19,19,130
10,20,31,196
10,21,30,184
10,22,19,143
10,23,26,219
10,24,15,95
10,25,23,118
10,26,23,167
10,27,14,68
10,28,13,65
10,29,24,187
10,30,25,181
10,31,25,186
10,32,24,156
10,33,29,209
10,34,31,196
10,35,27,200
10,36,14,74
10,37,24,151
10,38,28,195
10,39,17,100
10,40,14,78
10,41,15,89
10,42,13,65
10,43,21,132
10,44,16,89
10,45,31,242
10,46,15,76
10,47,15,112
10,48,18,122
10,49,31,204
10,50,15,87
10,51,30,197
10,52,20,107
10,53,32,245
10,54,24,184
10,55,28,227
10,56,29,195
10,57,21,152
10,58,29,208
10,59,30,241
10,60,20,142
10,61,19,129
10,62,18,98
10,63,21,133
10,64,21,156
10,65,15,84
10,66,11,51
10,67,19,120
10,68,19,107
10,69,33,267
10,70,26,165
10,71,31,233
10,72,20,134
10,73,25,171
10,74,25,245
10,75,24,164
10,76,22,141
10,77,17,113
10,78,11,48
10,79,18,96
10,80,20,154
10,81,22,153
10,82,17,106
10,83,22,122
10,84,14,83
10,85,24,175
10,86,16,94
10,87,16,92
10,88,15,86
10,89,11,69
10,90,16,114
10,91,13,56
10,92,19,136
10,93,20,140
10,94,33,218
10,95,20,138
10,96,24,142
10,97,26,176
10,98,21,160
10,99,24,176
10,100,27,210
20,1,33,422
20,2,31,393
20,3,43,650
20,4,25,321
20,5,26,377
20,6,27,327
20,7,37,481
20,8,51,820
20,9,47,690
20,10,38,627
20,11,21,230
20,12,45,795
20,13,44,686
20,14,19,230
20,15,39,451
20,16,23,331
20,17,39,585
20,18,44,620
20,19,26,338
20,20,65,1075
20,21,18,222
20,22,49,692
20,23,48,616
20,24,33,441
20,25,57,862
20,26,44,688
20,27,36,599
20,28,24,295
20,29,35,441
20,30,26,398
20,31,22,310
20,32,34,475
20,33,35,501
20,34,21,221
20,35,16,188
20,36,38,612
20,37,46,717
20,38,21,294
20,39,31,382
20,40,39,589
20,41,13,135
