strategy,run_id,length,steps
random,1,9,3301
random,2,10,5488
random,3,10,1457
random,4,7,1609
random,5,8,1269
random,6,8,3096
random,7,5,1536
random,8,8,1968
random,9,7,485
random,10,5,1994
random,11,7,3732
random,12,10,2993
random,13,7,922
random,14,7,1584
random,15,9,2620
random,16,8,2438
random,17,7,1112
random,18,5,1197
random,19,7,2616
random,20,7,1890
random,21,7,886
random,22,8,2695
random,23,10,2167
random,24,7,2101
random,25,7,2236
random,26,8,2656
random,27,7,1986
random,28,8,1561
random,29,7,1137
random,30,6,308
random,31,5,354
random,32,8,2434
random,33,7,3608
random,34,7,1203
random,35,5,2147
random,36,6,773
random,37,7,3079
random,38,7,2001
random,39,7,2084
random,40,9,2833
random,41,5,2401
random,42,7,2089
random,43,8,1885
random,44,5,2370
random,45,6,1251
random,46,6,2444
random,47,8,1255
random,48,8,2235
random,49,9,2599
random,50,8,3151
random,51,7,1038
random,52,5,912
random,53,8,1178
random,54,8,1812
random,55,5,1092
random,56,7,2064
random,57,11,2054
random,58,8,975
random,59,5,410
random,60,7,2402
random,61,7,1668
random,62,7,1591
random,63,7,1032
random,64,6,842
random,65,5,2402
random,66,8,2308
random,67,5,2372
random,68,5,1246
random,69,7,1179
random,70,5,1916
random,71,6,1602
random,72,6,2406
random,73,6,3253
random,74,6,583
random,75,7,3148
random,76,8,3319
random,77,8,3120
random,78,7,1262
random,79,7,2173
random,80,7,1601
random,81,7,1342
random,82,7,797
random,83,5,871
random,84,6,2851
random,85,9,2146
random,86,7,748
random,87,7,2683
random,88,12,3583
random,89,5,1232
random,90,7,2821
random,91,8,1133
random,92,5,687
random,93,7,1096
random,94,7,1557
random,95,5,1784
random,96,7,2681
random,97,5,1800
random,98,8,1685
random,99,5,437
random,100,8,2004
random,101,7,1782
random,102,7,1264
random,103,9,2006
random,104,5,1970
random,105,5,1293
random,106,5,442
random,107,6,1024
random,108,8,2834
random,109,7,1602
random,110,6,2366
random,111,7,3157
random,112,7,536
random,113,10,1591
